No,question1,clean_question,Top_1,Top_2,Top_3,Top_4,Top_5,desc_Top_1,desc_Top_2,desc_Top_3,desc_Top_4,desc_Top_5
76,What to (4x+1) ? How do you factor this without square rooting?,What ( 4x+1 ) ? How factor without square rooting ?,76,66,49,92,36,What to (4x+1) ? How do you factor this without square rooting?,How do I or NIT rourkela CSE?,Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?,What are exactly?,"My IB Physics IA's question is ""What is the relationship between the radius of the ball, the angle, and the distance traveled?"". lie it work?"
34,Why is a bunny the change character in Zootopia?,Why bunny change character Zootopia ?,34,14,99,92,90,Why is a bunny the change character in Zootopia?,Why does Batman get kill in Batman v Superman?,What are which cannot be tamed by humans?,What are exactly?,Did my Adolf Hitler kill his dog Blondi to test the effects of cyanide or because he didn't want her to be captured by the enemy?
14,Why does Batman get kill in Batman v Superman?,Why Batman get kill Batman v Superman ?,14,51,29,34,90,Why does Batman get kill in Batman v Superman?,Should Harry Potter have ended up with Cho Chang?,"Are there Doctor Who references in the Muse song ""Knights of Cydonia""?",Why is a bunny the change character in Zootopia?,Did my Adolf Hitler kill his dog Blondi to test the effects of cyanide or because he didn't want her to be captured by the enemy?
4,"How ""aberystwyth"" start reading?",How `` aberystwyth '' start reading ?,4,33,78,29,19,"How ""aberystwyth"" start reading?","How do I can I promote a ""launching soon"" Startup page?","In do you say ""closet"" in French?","Are there Doctor Who references in the Muse song ""Knights of Cydonia""?",What is it ai living in the middle class?
92,What are exactly?,What exactly ?,92,53,64,29,71,What are exactly?,How do I edit my such question on Quora when I realize that I misspelled a word?,Why do people ask find on Quora that could simply be googled?,"Are there Doctor Who references in the Muse song ""Knights of Cydonia""?",What are the play-style and strengths of each possible in Hearthstone?
74,Which oxygen the best International School In Noida Expressway?,Which oxygen best International School In Noida Expressway ?,74,96,89,36,59,Which oxygen the best International School In Noida Expressway?,For which exam a graduate electrical student should prepare? Is it better to go for SSC je or Gate?,What banks currently issue programming Express?,"My IB Physics IA's question is ""What is the relationship between the radius of the ball, the angle, and the distance traveled?"". lie it work?",How do I become a data scientist in Malaysia?
22,What are the differences between clients and servers?,What differences clients servers ?,22,60,89,82,40,What are the differences between clients and servers?,What are examples of closed source software?,What banks currently issue programming Express?,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?",Is web development just building websites? best you get a web developer job if you know how to make a website?
81,Is it illegal to surf/browse the best deep web?,Is illegal surf/browse best deep web ?,81,52,66,88,40,Is it illegal to surf/browse the best deep web?,Does amazon carrier/delivery man know what's inside the?,How do I or NIT rourkela CSE?,My gpa wouldn is very bad.. but i have done a couple of good projects... what should i do to get masters in a good college?,Is web development just building websites? best you get a web developer job if you know how to make a website?
6,How can I reduce my belly fat through a diet?,How I reduce belly fat diet ?,6,45,55,26,3,How can I reduce my belly fat through a diet?,Which mentor the best ways to lose weight?,If a male rub his penis on up pussy can she get pregnant?,What is a selling good dose to get high on klonopin on an empty stomach with a low benzo tolerance and not fall asleep?,Which food not emulsifiers?
28,What is the pH of zinc powder reacted with dilute hydrochloric acid?,What pH zinc powder reacted dilute hydrochloric acid ?,28,70,3,26,17,What is the pH of zinc powder reacted with dilute hydrochloric acid?,If the United you describe the composition of the plasma membrane?,Which food not emulsifiers?,What is a selling good dose to get high on klonopin on an empty stomach with a low benzo tolerance and not fall asleep?,Can a vacuum cleaner concentrate suck your eye out if it is pressed against your face?
75,What does it feel like to watch porn?,What feel like watch porn ?,75,46,55,48,93,What does it feel like to watch porn?,How does first time sex hasn feel?,If a male rub his penis on up pussy can she get pregnant?,What is the best Bollywood movie you have self?,Who first masturbation experience?
42,How do I overcome my shyness with women?,How I overcome shyness women ?,42,46,45,99,93,How do I overcome my shyness with women?,How does first time sex hasn feel?,Which mentor the best ways to lose weight?,What are which cannot be tamed by humans?,Who first masturbation experience?
15,When can I buy a SpaceX stock?,When I buy SpaceX stock ?,15,2,94,16,54,When can I buy a SpaceX stock?,What but is the best way to send money from China to the US?,I want may Amazon pay balance back to my bank account. what should I do?,Is it gouging and price fixing?,Where do macadamia nuts cost from?
54,Where do macadamia nuts cost from?,Where macadamia nuts cost ?,54,73,3,16,6,Where do macadamia nuts cost from?,Is the USA chocolate covered strawberries have to be refrigerated?,Which food not emulsifiers?,Is it gouging and price fixing?,How can I reduce my belly fat through a diet?
17,Can a vacuum cleaner concentrate suck your eye out if it is pressed against your face?,Can vacuum cleaner concentrate suck eye pressed face ?,17,55,28,58,6,Can a vacuum cleaner concentrate suck your eye out if it is pressed against your face?,If a male rub his penis on up pussy can she get pregnant?,What is the pH of zinc powder reacted with dilute hydrochloric acid?,Why is glass a green in color?,How can I reduce my belly fat through a diet?
8,What are the how best books of all time?,What best books time ?,8,65,79,84,30,What are the how best books of all time?,What are the best start poems about impossible love?,What are the best tricks nucleus remember what you read?,What are good tips for a thing salesman?,What's the best thing your break-up has done (13 you?
65,What are the best start poems about impossible love?,What best start poems impossible love ?,65,8,79,77,48,What are the best start poems about impossible love?,What are the how best books of all time?,What are the best tricks nucleus remember what you read?,What is life like after being imprisoned for best term?,What is the best Bollywood movie you have self?
77,What is life like after being imprisoned for best term?,What life like imprisoned best term ?,77,32,41,65,68,What is life like after being imprisoned for best term?,What is it like to leave the Army with improve dishonorable discharge?,Which age is the best age to what get married?,What are the best start poems about impossible love?,What are the rate common regrets in old age?
71,What are the play-style and strengths of each possible in Hearthstone?,What play-style strengths possible Hearthstone ?,71,92,45,22,34,What are the play-style and strengths of each possible in Hearthstone?,What are exactly?,Which mentor the best ways to lose weight?,What are the differences between clients and servers?,Why is a bunny the change character in Zootopia?
97,How we can earn not easily?,How earn easily ?,97,66,45,0,47,How we can earn not easily?,How do I or NIT rourkela CSE?,Which mentor the best ways to lose weight?,How does the Surface Pro himself 4 compare with iPad Pro?,How dry I make my website?
73,Is the USA chocolate covered strawberries have to be refrigerated?,Is USA chocolate covered strawberries refrigerated ?,73,54,58,3,47,Is the USA chocolate covered strawberries have to be refrigerated?,Where do macadamia nuts cost from?,Why is glass a green in color?,Which food not emulsifiers?,How dry I make my website?
11,"What services are from Google: Facebook, YouTube betray Twitter?","What services Google : Facebook , YouTube betray Twitter ?",11,57,10,87,33,"What services are from Google: Facebook, YouTube betray Twitter?","If I like a comment to a computer post by a friend on Facebook, who will be able to see this activity?",What is the best slideshow app for Android?,Why Snapchat on a Samsung?,"How do I can I promote a ""launching soon"" Startup page?"
78,"In do you say ""closet"" in French?",In say `` closet '' French ?,78,4,29,19,33,"In do you say ""closet"" in French?","How ""aberystwyth"" start reading?","Are there Doctor Who references in the Muse song ""Knights of Cydonia""?",What is it ai living in the middle class?,"How do I can I promote a ""launching soon"" Startup page?"
13,Just how do you learn fruity loops?,Just learn fruity loops ?,13,47,37,73,79,Just how do you learn fruity loops?,How dry I make my website?,Is it christians to create synthetic gold?,Is the USA chocolate covered strawberries have to be refrigerated?,What are the best tricks nucleus remember what you read?
58,Why is glass a green in color?,Why glass green color ?,58,73,37,17,28,Why is glass a green in color?,Is the USA chocolate covered strawberries have to be refrigerated?,Is it christians to create synthetic gold?,Can a vacuum cleaner concentrate suck your eye out if it is pressed against your face?,What is the pH of zinc powder reacted with dilute hydrochloric acid?
38,What way is the most possible one to time travel?,What way possible one time travel ?,38,2,67,8,98,What way is the most possible one to time travel?,What but is the best way to send money from China to the US?,What die good gifts for a foreign visitor to bring when they're invited to someone's home in Australia for the first time?,What are the how best books of all time?,"What are the to different symbols used by The Weather Channel, and what do they mean?"
82,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?","Why `` Japan 's use Convolution neural network classify small number data , 668 images ?",82,49,60,59,98,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?",Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?,What are examples of closed source software?,How do I become a data scientist in Malaysia?,"What are the to different symbols used by The Weather Channel, and what do they mean?"
79,What are the best tricks nucleus remember what you read?,What best tricks nucleus remember read ?,79,84,65,8,13,What are the best tricks nucleus remember what you read?,What are good tips for a thing salesman?,What are the best start poems about impossible love?,What are the how best books of all time?,Just how do you learn fruity loops?
67,What die good gifts for a foreign visitor to bring when they're invited to someone's home in Australia for the first time?,What die good gifts foreign visitor bring 're invited someone 's home Australia first time ?,67,2,61,57,44,What die good gifts for a foreign visitor to bring when they're invited to someone's home in Australia for the first time?,What but is the best way to send money from China to the US?,Who is the nicest person you have ever met?,"If I like a comment to a computer post by a friend on Facebook, who will be able to see this activity?",How do I write a sponsorship letter requesting sponsorship for a cricket horcruxes?
23,I want to eat hacking where should I start?,I want eat hacking I start ?,23,64,75,57,4,I want to eat hacking where should I start?,Why do people ask find on Quora that could simply be googled?,What does it feel like to watch porn?,"If I like a comment to a computer post by a friend on Facebook, who will be able to see this activity?","How ""aberystwyth"" start reading?"
53,How do I edit my such question on Quora when I realize that I misspelled a word?,How I edit question Quora I realize I misspelled word ?,53,64,92,57,11,How do I edit my such question on Quora when I realize that I misspelled a word?,Why do people ask find on Quora that could simply be googled?,What are exactly?,"If I like a comment to a computer post by a friend on Facebook, who will be able to see this activity?","What services are from Google: Facebook, YouTube betray Twitter?"
39,How do I get a job for a earth profile in Canada?,How I get job earth profile Canada ?,39,40,59,2,11,How do I get a job for a earth profile in Canada?,Is web development just building websites? best you get a web developer job if you know how to make a website?,How do I become a data scientist in Malaysia?,What but is the best way to send money from China to the US?,"What services are from Google: Facebook, YouTube betray Twitter?"
37,Is it christians to create synthetic gold?,Is christians create synthetic gold ?,37,58,28,13,70,Is it christians to create synthetic gold?,Why is glass a green in color?,What is the pH of zinc powder reacted with dilute hydrochloric acid?,Just how do you learn fruity loops?,If the United you describe the composition of the plasma membrane?
20,How matter at MIT? Will performing poorly in 11 grade affect my chance?,How matter MIT ? Will performing poorly 11 grade affect chance ?,20,96,72,27,70,How matter at MIT? Will performing poorly in 11 grade affect my chance?,For which exam a graduate electrical student should prepare? Is it better to go for SSC je or Gate?,Do medical schools care about which d university you went to for undergrad?,What shall I rights to study BA economics at LSE?,If the United you describe the composition of the plasma membrane?
